2024-07-10 15:55:25,659 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Configure stats pid to 468330
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Loading settings from /home/yunqiliu/.config/wandb/settings
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Loading settings from /home/yunqiliu/octo/examples/wandb/settings
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '02_finetune_new_observation_action.py', 'program_abspath': '/home/yunqiliu/octo/examples/02_finetune_new_observation_action.py', 'program': '/home/yunqiliu/octo/examples/02_finetune_new_observation_action.py'}
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:_log_setup():520] Logging user logs to /home/yunqiliu/octo/examples/wandb/run-20240710_155525-r9l6cy0f/logs/debug.log
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:_log_setup():521] Logging internal logs to /home/yunqiliu/octo/examples/wandb/run-20240710_155525-r9l6cy0f/logs/debug-internal.log
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:init():560] calling init triggers
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:init():610] starting backend
2024-07-10 15:55:25,660 INFO    MainThread:468330 [wandb_init.py:init():614] setting up manager
2024-07-10 15:55:25,662 INFO    MainThread:468330 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-10 15:55:25,663 INFO    MainThread:468330 [wandb_init.py:init():622] backend started and connected
2024-07-10 15:55:25,667 INFO    MainThread:468330 [wandb_init.py:init():711] updated telemetry
2024-07-10 15:55:25,673 INFO    MainThread:468330 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-10 15:55:26,389 INFO    MainThread:468330 [wandb_run.py:_on_init():2402] communicating current version
2024-07-10 15:55:26,660 INFO    MainThread:468330 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-10 15:55:26,661 INFO    MainThread:468330 [wandb_init.py:init():795] starting run threads in backend
2024-07-10 15:55:33,388 INFO    MainThread:468330 [wandb_run.py:_console_start():2380] atexit reg
2024-07-10 15:55:33,388 INFO    MainThread:468330 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-10 15:55:33,388 INFO    MainThread:468330 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-10 15:55:33,388 INFO    MainThread:468330 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-10 15:55:33,389 INFO    MainThread:468330 [wandb_init.py:init():838] run started, returning control to user process
